student_id,age,gender,year_of_study,field_of_study,stress_level,anxiety_score,sleep_hours,sleep_quality,mood_rating,daily_screen_time_hrs,screen_time_before_sleep,daily_social_media_hours,platform_usage,physical_activity,social_interaction_level,study_hours_per_day,class_attendance_pct,exam_score,GPA,academic_performance,sleep_debt,stress_sleep_ratio,state_score,screen_category,at_risk
1,22,Male,1,Arts,6,5,5.0,2.0,5.0,2.6,0.5,4.4,TikTok,6.0,5.1,2.8,69.7,59.1,1.9,51.0,3.0,1.2,5.333333333333333,Moderate,0
2,21,Male,1,Engineering,5,5,5.9,3.0,6.0,2.4,1.0,2.1,Instagram,2.0,9.0,1.5,79.5,54.0,2.21,51.4,2.0999999999999996,0.847457627118644,4.666666666666667,Moderate,0
3,22,Female,1,Science,6,2,5.7,2.0,4.0,3.5,1.6,2.5,Both,3.9,6.7,2.8,73.0,64.7,2.33,58.1,2.3,1.0526315789473684,4.666666666666667,Moderate,0
4,24,Female,2,Computer Science,4,3,7.5,2.0,8.0,1.6,0.0,2.7,Both,6.5,7.5,1.8,81.0,70.6,2.78,71.9,0.5,0.5333333333333333,3.0,Low,0
5,21,Male,3,Science,6,4,6.3,2.0,5.0,5.6,1.4,3.4,Instagram,4.6,7.0,2.3,82.4,61.8,2.61,54.8,1.7000000000000002,0.9523809523809524,5.0,High,0
6,21,Other,2,Other,8,9,5.0,1.0,5.0,4.2,1.2,2.5,Both,2.6,6.7,2.8,79.3,59.2,2.25,51.1,3.0,1.6,7.333333333333333,Moderate,1
7,24,Male,2,Business,5,6,7.6,4.0,6.0,4.5,1.9,4.2,Both,3.5,5.2,4.1,79.5,85.5,2.97,90.4,0.40000000000000036,0.6578947368421053,5.0,Moderate,0
8,22,Female,1,Science,5,6,5.2,1.0,6.0,4.9,2.9,3.6,Both,5.0,9.0,2.0,79.5,63.5,2.53,61.0,2.8,0.9615384615384615,5.0,Moderate,0
9,20,Female,4,Engineering,6,6,6.2,2.0,5.0,4.6,0.9,3.3,Both,2.1,5.5,6.0,77.9,63.8,3.23,88.3,1.7999999999999998,0.9677419354838709,5.666666666666667,Moderate,0
10,22,Female,2,Science,9,10,5.6,1.0,3.0,5.7,2.2,4.7,Both,3.1,6.9,3.0,68.6,46.5,1.89,46.7,2.4000000000000004,1.6071428571428572,8.666666666666666,High,0
11,20,Female,1,Science,6,5,6.2,2.0,5.0,3.4,1.1,2.9,Instagram,3.2,5.6,2.5,89.0,66.0,2.68,64.6,1.7999999999999998,0.9677419354838709,5.333333333333333,Moderate,0
12,20,Female,3,Engineering,5,6,6.6,3.0,6.0,5.4,1.4,2.9,Both,2.5,5.2,4.3,77.8,63.8,2.54,74.4,1.4000000000000004,0.7575757575757576,5.0,High,0
13,21,Male,1,Science,6,6,7.2,4.0,6.0,2.9,0.7,4.0,Both,3.7,8.3,2.0,81.7,69.1,2.87,70.9,0.7999999999999998,0.8333333333333333,5.333333333333333,Moderate,0
14,18,Female,2,Business,6,7,7.6,3.0,8.0,5.8,3.0,1.2,Instagram,3.0,6.4,3.5,82.5,60.4,2.79,64.9,0.40000000000000036,0.7894736842105263,5.0,High,0
