student_id,age,gender,year_of_study,field_of_study,stress_level,anxiety_score,sleep_hours,sleep_quality,mood_rating,daily_screen_time_hrs,screen_time_before_sleep,daily_social_media_hours,platform_usage,physical_activity,social_interaction_level,study_hours_per_day,class_attendance_pct,exam_score,GPA,academic_performance
1,22,Male,1,Arts,6,5,5.0,2.0,5.0,2.6,0.5,4.4,TikTok,6.0,5.1,,69.7,59.1,1.9,51.0
2,21,Male,1,Engineering,5,5,5.9,3.0,6.0,2.4,1.0,2.1,Instagram,2.0,9.0,1.5,,54.0,2.21,51.4
3,22,Female,1,Science,6,2,5.7,2.0,4.0,3.5,1.6,2.5,Both,3.9,6.7,,73.0,64.7,2.33,58.1
4,24,Female,2,Computer Science,4,3,7.5,,8.0,1.6,0.0,2.7,Both,6.5,7.5,1.8,81.0,70.6,2.78,71.9
5,21,Male,3,Science,6,4,6.3,2.0,5.0,5.6,,3.4,Instagram,4.6,7.0,2.3,82.4,61.8,2.61,54.8
6,21,Other,2,Other,8,9,5.0,1.0,,4.2,1.2,2.5,Both,2.6,6.7,2.8,79.3,59.2,2.25,51.1
7,24,Male,2,Business,5,6,7.6,4.0,6.0,4.5,1.9,4.2,Both,3.5,5.2,4.1,,85.5,2.97,90.4
8,22,Female,1,Science,5,6,5.2,1.0,6.0,4.9,2.9,3.6,Both,5.0,9.0,2.0,,63.5,2.53,61.0
9,20,Female,4,Engineering,6,6,6.2,2.0,5.0,4.6,0.9,3.3,Both,2.1,5.5,6.0,77.9,,3.23,88.3
10,22,Female,2,Science,9,10,5.6,1.0,3.0,5.7,2.2,4.7,Both,3.1,6.9,3.0,68.6,46.5,1.89,46.7
11,20,Female,1,Science,6,5,6.2,2.0,5.0,3.4,1.1,2.9,Instagram,3.2,5.6,2.5,89.0,66.0,2.68,64.6
12,20,Female,3,Engineering,5,6,6.6,3.0,6.0,5.4,1.4,2.9,Both,2.5,5.2,4.3,77.8,,,74.4
13,21,Male,1,Science,6,6,7.2,4.0,6.0,2.9,0.7,4.0,Both,3.7,8.3,2.0,81.7,69.1,2.87,70.9
14,18,Female,2,Business,6,7,7.6,3.0,8.0,5.8,3.0,1.2,Instagram,3.0,6.4,3.5,82.5,60.4,2.79,64.9
15,18,Male,2,Arts,6,7,,,6.0,2.8,,4.8,Instagram,4.3,6.0,2.0,71.5,65.5,2.39,62.2
16,20,Female,4,Arts,4,5,6.2,4.0,7.0,4.0,1.9,1.0,TikTok,5.3,7.4,2.1,83.2,58.4,2.18,57.7
17,19,Female,2,Arts,6,6,5.8,3.0,5.0,1.9,0.1,,Instagram,1.5,9.0,3.1,74.4,80.8,2.6,69.7
18,22,Female,3,Engineering,7,7,6.4,2.0,5.0,6.0,2.8,3.5,Both,3.4,8.7,2.5,85.8,52.4,2.37,54.5
19,19,Male,4,Engineering,5,5,6.2,3.0,5.0,4.9,2.0,2.4,Instagram,3.7,,3.2,82.2,58.9,2.74,60.7
20,19,Female,1,Arts,6,7,6.4,2.0,6.0,2.7,1.4,3.8,Instagram,3.6,9.5,2.4,76.6,58.6,2.43,55.5
21,23,Female,1,Business,5,5,4.8,2.0,4.0,3.9,0.8,1.1,Instagram,3.5,5.5,1.6,76.6,64.2,2.43,68.8
22,21,Female,2,Engineering,5,4,6.8,3.0,6.0,5.4,0.9,1.7,Instagram,2.7,7.1,4.9,80.7,80.1,3.23,77.3
23,21,Male,2,Computer Science,6,7,6.8,3.0,7.0,5.0,3.2,2.7,Both,5.4,6.8,3.1,81.6,77.9,2.84,77.6
24,19,Male,2,Computer Science,8,8,5.5,2.0,5.0,2.0,0.3,3.3,TikTok,5.9,4.6,1.6,81.1,47.6,2.49,54.4
25,20,Male,4,Business,6,7,,1.0,5.0,4.6,2.1,3.1,Instagram,4.3,7.0,0.8,81.6,45.8,1.81,47.3
26,21,Male,3,Engineering,5,3,7.8,5.0,7.0,4.0,,1.6,Instagram,4.8,6.3,5.1,79.2,74.6,3.07,75.8
27,19,Female,3,Computer Science,5,5,6.5,3.0,6.0,,1.2,2.1,TikTok,3.8,8.3,4.1,88.6,,3.01,66.5
28,22,Male,2,Business,3,2,6.2,4.0,8.0,4.8,0.3,,Instagram,5.3,6.7,3.5,91.6,65.3,3.24,74.0
29,20,Other,4,Computer Science,9,9,4.6,1.0,2.0,,1.5,3.9,Both,0.0,4.6,0.2,64.7,31.5,1.5,36.9
30,21,Male,4,Computer Science,7,8,5.0,2.0,5.0,3.6,0.9,3.1,TikTok,3.9,8.1,4.1,64.5,,2.15,50.5
31,20,Male,4,Computer Science,6,5,7.3,3.0,6.0,1.7,1.0,2.9,Instagram,2.5,5.9,2.7,81.3,69.6,2.2,69.7
32,24,Female,1,Business,7,7,7.0,3.0,6.0,4.0,2.5,2.7,TikTok,3.3,7.6,1.8,75.9,67.0,2.23,63.7
33,21,Female,3,Engineering,5,5,5.5,,5.0,2.3,0.0,2.7,Instagram,5.3,7.2,,84.5,65.9,2.11,61.6
34,19,Female,1,Arts,6,5,7.1,3.0,7.0,4.3,1.5,2.2,Instagram,3.6,6.9,3.2,84.8,61.9,2.74,68.8
35,22,Female,1,Arts,6,6,5.8,2.0,5.0,5.2,1.4,3.9,Instagram,2.7,5.5,2.1,85.5,64.5,2.28,52.1
36,19,Female,1,Arts,3,2,8.1,5.0,7.0,1.9,0.2,1.3,TikTok,1.5,6.7,0.2,80.5,60.7,2.2,60.0
37,21,Male,3,Engineering,4,6,7.6,2.0,7.0,4.5,,,TikTok,3.3,6.4,4.0,99.8,86.5,2.92,87.1
38,18,Other,3,Engineering,4,5,5.4,1.0,6.0,1.0,0.0,1.8,TikTok,4.6,5.8,4.1,87.8,67.0,2.95,73.4
39,19,Other,1,Computer Science,5,5,5.8,2.0,5.0,4.4,0.7,1.0,Instagram,2.6,6.3,1.9,83.4,53.6,1.94,49.8
40,21,Female,2,Arts,7,6,3.5,1.0,4.0,3.9,0.0,1.3,Instagram,,7.5,3.5,80.4,64.5,1.97,52.2
41,22,Male,2,Computer Science,7,8,4.9,1.0,5.0,5.5,1.9,2.4,TikTok,6.5,7.7,3.0,78.4,58.4,2.37,54.7
42,21,Female,2,Computer Science,6,7,4.9,2.0,5.0,4.1,0.4,3.1,Both,4.0,7.2,2.7,82.9,67.3,2.3,57.3
43,21,Male,1,Business,4,4,6.8,4.0,8.0,3.3,,2.2,Both,3.1,6.3,2.1,84.9,59.6,2.56,60.6
44,20,Male,2,Arts,5,4,6.0,3.0,6.0,4.6,1.8,3.5,Instagram,5.2,,3.0,87.2,70.0,3.09,70.2
45,18,Male,3,Computer Science,7,7,4.4,1.0,2.0,3.6,1.2,3.6,Instagram,3.4,4.6,2.3,79.8,58.2,2.38,58.4
46,20,Female,1,Business,4,4,6.3,3.0,7.0,3.8,1.4,2.9,Both,5.2,6.3,2.9,91.5,58.2,2.65,63.3
47,20,Female,1,Arts,3,3,7.1,3.0,8.0,1.8,0.1,2.4,Both,5.1,5.4,4.5,78.8,81.3,3.01,72.0
48,23,Female,2,Engineering,6,6,7.1,3.0,6.0,4.9,2.1,3.8,Both,1.5,4.9,2.4,76.0,46.7,2.3,50.0
49,22,Female,4,Business,7,8,3.9,1.0,5.0,5.2,2.3,1.5,TikTok,4.6,6.2,1.8,79.8,61.6,2.38,58.4
50,18,Male,3,Arts,8,10,5.8,2.0,4.0,7.2,3.6,4.8,Both,5.9,5.8,,79.0,38.0,1.47,35.2
51,22,Male,3,Science,8,9,4.7,2.0,3.0,4.5,1.6,3.0,TikTok,2.0,7.6,1.3,69.1,44.6,1.82,45.1
52,20,Male,2,Engineering,5,6,,3.0,7.0,5.7,2.2,2.1,Both,1.8,5.9,,84.9,69.3,2.6,67.4
53,20,Other,2,Science,3,2,7.2,2.0,5.0,1.7,0.0,1.7,TikTok,2.7,7.4,3.5,79.2,69.1,3.35,75.7
54,22,Male,1,Engineering,5,6,5.7,1.0,6.0,6.4,2.3,1.7,TikTok,4.7,7.0,2.5,86.0,77.4,2.84,71.6
55,23,Female,3,Engineering,5,6,5.5,1.0,6.0,3.8,1.6,3.1,TikTok,4.1,8.1,3.7,82.0,64.0,2.32,60.6
56,23,Female,4,Science,10,10,5.6,1.0,2.0,1.5,1.2,5.1,TikTok,0.9,6.3,3.1,66.6,49.0,2.26,58.2
57,20,Male,3,Computer Science,9,9,3.6,1.0,2.0,4.7,2.6,2.5,TikTok,3.9,5.7,0.0,65.5,28.7,0.77,18.4
58,20,Female,4,Business,7,7,6.2,2.0,5.0,4.7,1.6,4.0,TikTok,2.9,8.2,4.1,77.3,61.1,2.76,69.4
59,22,Female,3,Engineering,3,3,5.9,3.0,8.0,3.4,0.8,0.7,None,3.5,6.2,4.3,82.4,77.8,3.27,
60,23,Female,1,Engineering,5,3,7.9,2.0,7.0,2.0,1.6,3.1,Both,2.3,6.1,2.2,81.2,70.8,3.08,75.4
61,20,Other,4,Arts,5,4,4.6,1.0,4.0,3.9,1.1,2.5,Instagram,3.8,6.8,2.3,88.9,61.8,2.43,64.9
62,21,Male,1,Science,6,5,6.0,2.0,6.0,16.6,2.2,2.5,Instagram,,7.2,2.8,68.9,55.7,2.35,52.8
63,19,Male,2,Computer Science,6,4,4.6,1.0,5.0,2.5,1.1,2.4,Both,2.2,7.0,0.4,63.3,45.9,1.56,43.3
64,19,Female,1,Arts,6,5,5.4,2.0,3.0,3.9,0.8,3.6,Instagram,0.9,4.5,2.1,79.1,47.3,2.57,52.9
65,22,Other,1,Computer Science,5,6,5.4,2.0,7.0,2.6,0.2,3.0,TikTok,3.2,7.0,3.1,70.6,73.7,3.04,79.1
66,23,Male,2,Science,4,5,7.7,3.0,7.0,,1.5,2.2,TikTok,4.8,7.4,2.7,74.4,66.3,2.79,62.6
67,21,Female,1,Arts,4,3,5.9,2.0,7.0,3.5,0.3,0.9,TikTok,3.1,6.6,1.5,,58.1,2.43,56.5
68,23,Female,2,Science,7,6,6.7,3.0,5.0,3.2,0.5,4.6,Instagram,1.1,5.0,2.5,83.4,45.1,2.65,57.3
69,22,Female,2,Other,7,8,6.1,1.0,4.0,5.5,1.3,2.7,Both,4.2,5.5,4.8,68.3,65.3,2.98,72.9
70,20,Male,1,Arts,7,8,5.2,,,3.6,2.1,1.8,Instagram,4.8,7.4,1.3,63.7,61.8,2.04,56.2
71,22,Female,1,Science,5,5,6.5,3.0,6.0,3.1,0.9,3.7,Both,3.1,5.2,2.0,73.1,65.9,2.26,62.5
72,24,Other,2,Science,5,6,7.3,2.0,4.0,4.5,0.8,2.3,TikTok,0.9,6.0,3.0,76.0,76.5,2.39,65.3
73,21,Male,2,Engineering,7,6,5.1,1.0,4.0,4.2,2.7,3.8,Instagram,3.1,,3.7,85.9,63.9,2.68,61.8
74,24,Male,3,Arts,3,3,7.3,4.0,6.0,3.9,0.3,1.6,Instagram,4.0,5.0,2.0,85.1,49.7,2.72,64.8
75,18,Other,3,Engineering,8,7,5.0,1.0,3.0,5.1,1.5,,Instagram,2.2,4.6,2.6,75.6,54.3,1.95,53.0
76,22,Male,4,Business,8,8,5.4,1.0,3.0,4.1,1.3,,TikTok,4.3,6.6,1.5,78.1,50.1,2.17,50.7
77,21,Female,3,Science,4,4,6.7,3.0,7.0,3.4,1.1,,Instagram,2.2,5.6,3.0,91.3,78.1,2.77,
78,20,Female,2,Arts,5,3,5.6,2.0,,3.8,2.0,2.6,TikTok,3.3,5.6,1.6,75.0,57.4,2.43,63.5
79,21,Male,3,Computer Science,7,8,6.2,2.0,3.0,4.1,2.4,3.1,Both,3.1,5.2,2.2,76.0,50.6,2.17,57.0
80,18,Female,1,Computer Science,8,9,6.1,2.0,3.0,4.5,1.6,5.1,TikTok,3.8,5.0,0.7,73.0,44.6,1.8,44.0
81,21,Male,2,Computer Science,5,6,6.5,2.0,6.0,0.2,0.8,2.8,Instagram,3.1,8.1,2.3,84.5,61.5,2.33,57.4
82,22,Female,3,Engineering,9,10,3.6,1.0,2.0,4.4,2.6,2.8,Both,3.1,4.8,0.0,73.8,38.5,1.58,38.2
83,24,Male,2,Engineering,8,8,4.6,1.0,4.0,3.3,1.6,3.8,Both,2.1,7.4,0.0,83.5,39.3,1.57,38.5
84,20,Female,3,Arts,6,6,6.7,1.0,5.0,4.5,3.1,2.9,Instagram,3.4,5.8,3.2,77.2,58.3,2.71,66.2
85,20,Male,4,Science,6,4,7.0,3.0,6.0,2.7,0.0,2.5,Instagram,3.4,,4.5,81.1,77.0,2.58,66.2
86,20,Male,4,Science,7,7,4.8,1.0,3.0,2.7,1.8,1.8,TikTok,2.2,6.6,5.9,77.6,67.8,2.94,68.8
87,23,Other,4,Engineering,10,10,5.8,1.0,3.0,6.2,2.4,4.5,Instagram,4.2,6.1,,73.9,47.1,2.11,49.6
88,22,Male,2,Engineering,7,6,6.8,4.0,5.0,5.1,,2.1,Both,3.6,6.2,2.1,89.1,54.5,,60.3
89,20,Female,2,Engineering,3,3,7.1,2.0,6.0,5.0,1.0,1.8,Instagram,3.2,6.7,1.5,85.9,68.0,2.76,71.6
90,22,Male,2,Computer Science,8,8,4.2,1.0,3.0,3.7,1.8,3.0,Both,4.6,6.5,2.2,68.4,,,47.8
91,21,Female,2,Engineering,8,8,5.4,1.0,4.0,3.4,0.7,4.2,TikTok,4.0,5.8,0.2,82.0,42.6,1.25,42.5
92,23,Male,3,Business,5,6,5.9,2.0,5.0,4.8,1.3,1.8,TikTok,1.6,7.1,2.1,80.1,69.5,2.68,64.6
93,20,Other,3,Engineering,7,6,6.8,3.0,5.0,3.2,0.9,4.7,TikTok,5.4,4.6,3.4,83.3,65.3,2.29,66.0
94,20,Male,3,Arts,1,1,8.8,5.0,,2.3,0.4,2.6,Both,5.0,5.6,4.9,,88.7,4.0,91.6
95,20,Male,2,Science,5,6,6.1,2.0,4.0,5.2,2.5,3.7,Instagram,,5.4,1.7,87.6,57.3,2.43,57.8
96,19,Male,1,Computer Science,4,4,4.9,2.0,4.0,3.9,1.6,1.6,Instagram,4.0,5.4,0.9,74.7,57.9,1.82,52.4
97,22,Male,2,Computer Science,7,7,6.9,2.0,4.0,3.2,1.8,4.0,Both,0.0,5.2,2.7,71.6,,,63.9
98,21,Female,1,Science,5,6,8.1,4.0,8.0,1.9,2.0,2.2,TikTok,4.8,7.3,3.7,69.2,84.1,2.61,72.3
99,21,Male,4,Computer Science,7,7,6.0,3.0,4.0,2.8,1.3,4.3,Both,3.6,3.6,,72.1,53.1,2.91,65.2
100,21,Female,2,Other,6,5,5.4,1.0,6.0,0.5,0.5,1.2,Instagram,4.1,6.2,0.0,83.4,49.0,1.8,45.7
101,19,Male,1,Computer Science,5,6,7.5,3.0,6.0,2.2,0.7,,Both,4.2,6.2,3.3,84.8,72.4,2.58,60.0
102,20,Male,1,Computer Science,2,1,7.3,4.0,9.0,5.5,1.4,2.1,TikTok,6.1,6.7,4.8,,86.3,3.73,89.9
103,20,Female,3,Engineering,6,6,4.9,2.0,4.0,1.4,0.9,2.2,Both,2.5,4.6,2.0,84.0,59.1,2.16,52.0
104,20,Female,3,Business,6,6,6.5,2.0,4.0,4.5,1.5,4.5,Both,2.4,5.2,0.8,79.0,51.2,2.26,58.6
105,21,Male,2,Engineering,5,5,7.5,4.0,7.0,4.5,0.7,2.8,TikTok,,4.9,2.2,93.6,58.2,2.54,65.6
106,22,Male,1,Engineering,7,8,8.0,2.0,5.0,4.2,3.4,5.0,Both,1.5,4.9,2.6,84.3,64.1,2.76,63.8
107,24,Male,2,Other,2,1,6.6,4.0,6.0,4.5,0.0,0.0,None,2.5,4.6,3.4,88.0,83.2,2.92,
108,21,Female,2,Science,8,7,6.0,2.0,4.0,3.4,1.0,3.2,Both,1.1,5.2,2.4,83.4,54.7,1.63,44.8
109,21,Female,3,Arts,7,7,7.5,2.0,5.0,6.5,2.5,5.0,TikTok,4.3,,4.0,77.9,76.3,2.47,70.2
110,21,Female,3,Computer Science,5,5,4.8,2.0,5.0,3.9,1.1,1.6,TikTok,6.6,7.0,2.3,73.5,57.9,2.65,64.4
111,18,Female,2,Computer Science,5,6,6.6,2.0,6.0,3.5,1.5,3.9,Instagram,6.7,7.2,4.2,95.2,78.1,2.87,
112,21,Female,1,Other,8,9,5.1,1.0,5.0,0.8,1.5,2.8,Both,2.0,5.8,1.7,74.4,36.9,2.25,46.5
113,21,Female,4,Engineering,5,5,7.1,4.0,7.0,2.0,0.7,1.2,Instagram,3.3,7.5,3.8,91.5,90.3,2.54,75.9
114,25,Female,2,Engineering,4,3,6.4,3.0,5.0,3.2,0.0,2.5,Instagram,5.0,6.3,3.0,90.6,69.1,3.15,81.1
